"global_step","251221_A2C - train/final_neg_count","251221_A2C - train/final_neg_count__MIN","251221_A2C - train/final_neg_count__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"253000","15","15","15","505","505","505"
"253500","11","11","11","506","506","506"
"254000","3","3","3","507","507","507"
"254500","15","15","15","508","508","508"
"255000","11","11","11","509","509","509"
"255500","15","15","15","510","510","510"
"256000","15","15","15","511","511","511"
"256500","15","15","15","512","512","512"
"257000","3","3","3","513","513","513"
"257500","3","3","3","514","514","514"
"258000","7","7","7","515","515","515"
"258500","3","3","3","516","516","516"
"259000","15","15","15","517","517","517"
"259500","14","14","14","518","518","518"
"260000","15","15","15","519","519","519"
"260500","15","15","15","520","520","520"
"261000","15","15","15","521","521","521"
"261500","15","15","15","522","522","522"
"262000","15","15","15","523","523","523"
"262500","3","3","3","524","524","524"
"263000","3","3","3","525","525","525"
"263500","15","15","15","526","526","526"
"264000","3","3","3","527","527","527"
"264500","6","6","6","528","528","528"
"265000","3","3","3","529","529","529"
"265500","3","3","3","530","530","530"
"266000","3","3","3","531","531","531"
"266500","3","3","3","532","532","532"
"267000","4","4","4","533","533","533"
"267500","9","9","9","534","534","534"
"268000","15","15","15","535","535","535"
"268500","3","3","3","536","536","536"
"269000","3","3","3","537","537","537"
"269500","15","15","15","538","538","538"
"270000","3","3","3","539","539","539"
"270500","3","3","3","540","540","540"
"271000","3","3","3","541","541","541"
"271500","3","3","3","542","542","542"
"272000","15","15","15","543","543","543"
"272500","3","3","3","544","544","544"
"273000","3","3","3","545","545","545"
"273500","3","3","3","546","546","546"
"274000","3","3","3","547","547","547"
"274500","3","3","3","548","548","548"
"275000","3","3","3","549","549","549"
"275500","3","3","3","550","550","550"
"276000","3","3","3","551","551","551"
"276500","3","3","3","552","552","552"
"277000","3","3","3","553","553","553"
"277500","3","3","3","554","554","554"
"278000","3","3","3","555","555","555"
"278500","3","3","3","556","556","556"
"279000","3","3","3","557","557","557"
"279500","3","3","3","558","558","558"
"280000","3","3","3","559","559","559"
"280500","8","8","8","560","560","560"
"281000","3","3","3","561","561","561"
"281500","4","4","4","562","562","562"
"282000","13","13","13","563","563","563"
"282500","7","7","7","564","564","564"
"283000","3","3","3","565","565","565"
"283500","3","3","3","566","566","566"
"284000","5","5","5","567","567","567"
"284500","12","12","12","568","568","568"
"285000","15","15","15","569","569","569"
"285500","3","3","3","570","570","570"
"286000","13","13","13","571","571","571"
"286500","3","3","3","572","572","572"
"287000","14","14","14","573","573","573"
"287500","11","11","11","574","574","574"
"288000","5","5","5","575","575","575"
"288500","12","12","12","576","576","576"
"289000","11","11","11","577","577","577"
"289500","12","12","12","578","578","578"
"290000","12","12","12","579","579","579"
"290500","11","11","11","580","580","580"
"291000","6","6","6","581","581","581"
"291500","10","10","10","582","582","582"
"292000","6","6","6","583","583","583"
"292500","13","13","13","584","584","584"
"293000","3","3","3","585","585","585"
"293500","10","10","10","586","586","586"
"294000","10","10","10","587","587","587"
"294500","9","9","9","588","588","588"
"295000","3","3","3","589","589","589"
"295500","4","4","4","590","590","590"
"296000","11","11","11","591","591","591"
"296500","12","12","12","592","592","592"
"297000","3","3","3","593","593","593"
"297500","6","6","6","594","594","594"
"298000","6","6","6","595","595","595"
"298500","5","5","5","596","596","596"
"299000","3","3","3","597","597","597"
"299500","8","8","8","598","598","598"
"300000","15","15","15","599","599","599"
"300500","12","12","12","600","600","600"
"301000","14","14","14","601","601","601"
"301500","11","11","11","602","602","602"
"302000","13","13","13","603","603","603"
"302500","3","3","3","604","604","604"
"303000","4","4","4","605","605","605"
"303500","12","12","12","606","606","606"
"304000","12","12","12","607","607","607"
"304500","10","10","10","608","608","608"
"305000","3","3","3","609","609","609"
"305500","14","14","14","610","610","610"
"306000","9","9","9","611","611","611"
"306500","15","15","15","612","612","612"
"307000","15","15","15","613","613","613"
"307500","15","15","15","614","614","614"
"308000","15","15","15","615","615","615"
"308500","15","15","15","616","616","616"
"309000","15","15","15","617","617","617"
"309500","15","15","15","618","618","618"
"310000","15","15","15","619","619","619"
"310500","15","15","15","620","620","620"
"311000","15","15","15","621","621","621"
"311500","15","15","15","622","622","622"
"312000","15","15","15","623","623","623"
"312500","15","15","15","624","624","624"
"313000","15","15","15","625","625","625"
"313500","15","15","15","626","626","626"
"314000","15","15","15","627","627","627"
"314500","15","15","15","628","628","628"
"315000","15","15","15","629","629","629"
"315500","15","15","15","630","630","630"
"316000","15","15","15","631","631","631"
"316500","15","15","15","632","632","632"
"317000","15","15","15","633","633","633"
"317500","15","15","15","634","634","634"
"318000","15","15","15","635","635","635"
"318500","15","15","15","636","636","636"
"319000","15","15","15","637","637","637"
"319500","15","15","15","638","638","638"
"320000","15","15","15","639","639","639"
"320500","15","15","15","640","640","640"
"321000","15","15","15","641","641","641"
"321500","15","15","15","642","642","642"
"322000","15","15","15","643","643","643"
"322500","15","15","15","644","644","644"
"323000","15","15","15","645","645","645"
"323500","15","15","15","646","646","646"
"324000","15","15","15","647","647","647"
"324500","15","15","15","648","648","648"
"325000","15","15","15","649","649","649"
"325500","15","15","15","650","650","650"
"326000","15","15","15","651","651","651"
"326500","15","15","15","652","652","652"
"327000","15","15","15","653","653","653"
"327500","15","15","15","654","654","654"
"328000","15","15","15","655","655","655"
"328500","15","15","15","656","656","656"
"329000","15","15","15","657","657","657"
"329500","15","15","15","658","658","658"
"330000","15","15","15","659","659","659"
"330500","15","15","15","660","660","660"
"331000","15","15","15","661","661","661"
"331500","15","15","15","662","662","662"
"332000","15","15","15","663","663","663"
"332500","15","15","15","664","664","664"
"333000","15","15","15","665","665","665"
"333500","15","15","15","666","666","666"
"334000","15","15","15","667","667","667"
"334500","15","15","15","668","668","668"
"335000","15","15","15","669","669","669"
"335500","15","15","15","670","670","670"
"336000","15","15","15","671","671","671"
"336500","15","15","15","672","672","672"
"337000","15","15","15","673","673","673"
"337500","15","15","15","674","674","674"
"338000","15","15","15","675","675","675"
"338500","15","15","15","676","676","676"
"339000","15","15","15","677","677","677"
"339500","15","15","15","678","678","678"
"340000","15","15","15","679","679","679"
"340500","15","15","15","680","680","680"
"341000","15","15","15","681","681","681"
"341500","15","15","15","682","682","682"
"342000","15","15","15","683","683","683"
"342500","15","15","15","684","684","684"
"343000","15","15","15","685","685","685"
"343500","15","15","15","686","686","686"
"344000","15","15","15","687","687","687"
"344500","15","15","15","688","688","688"
"345000","14","14","14","689","689","689"
"345500","15","15","15","690","690","690"
"346000","15","15","15","691","691","691"
"346500","15","15","15","692","692","692"
"347000","15","15","15","693","693","693"
"347500","15","15","15","694","694","694"
"348000","15","15","15","695","695","695"
"348500","15","15","15","696","696","696"
"349000","15","15","15","697","697","697"
"349500","15","15","15","698","698","698"
"350000","15","15","15","699","699","699"
"350500","15","15","15","700","700","700"
"351000","15","15","15","701","701","701"
"351500","15","15","15","702","702","702"
"352000","15","15","15","703","703","703"
"352500","15","15","15","704","704","704"
"353000","15","15","15","705","705","705"
"353500","15","15","15","706","706","706"
"354000","15","15","15","707","707","707"
"354500","15","15","15","708","708","708"
"355000","15","15","15","709","709","709"
"355500","15","15","15","710","710","710"
"356000","15","15","15","711","711","711"
"356500","15","15","15","712","712","712"
"357000","15","15","15","713","713","713"
"357500","15","15","15","714","714","714"
"358000","15","15","15","715","715","715"
"358500","15","15","15","716","716","716"
"359000","15","15","15","717","717","717"
"359500","15","15","15","718","718","718"
"360000","15","15","15","719","719","719"
"360500","15","15","15","720","720","720"
"361000","15","15","15","721","721","721"
"361500","15","15","15","722","722","722"
"362000","15","15","15","723","723","723"
"362500","15","15","15","724","724","724"
"363000","15","15","15","725","725","725"
