"global_step","251221_A2C - time/fps","251221_A2C - time/fps__MIN","251221_A2C - time/fps__MAX","251221_A2C - _step","251221_A2C - _step__MIN","251221_A2C - _step__MAX"
"319500","54","54","54","638","638","638"
"320000","54","54","54","639","639","639"
"320500","54","54","54","640","640","640"
"321000","54","54","54","641","641","641"
"321500","54","54","54","642","642","642"
"322000","54","54","54","643","643","643"
"322500","54","54","54","644","644","644"
"323000","55","55","55","645","645","645"
"323500","55","55","55","646","646","646"
"324000","55","55","55","647","647","647"
"324500","55","55","55","648","648","648"
"325000","55","55","55","649","649","649"
"325500","55","55","55","650","650","650"
"326000","55","55","55","651","651","651"
"326500","55","55","55","652","652","652"
"327000","55","55","55","653","653","653"
"327500","55","55","55","654","654","654"
"328000","55","55","55","655","655","655"
"328500","55","55","55","656","656","656"
"329000","55","55","55","657","657","657"
"329500","55","55","55","658","658","658"
"330000","55","55","55","659","659","659"
"330500","56","56","56","660","660","660"
"331000","56","56","56","661","661","661"
"331500","56","56","56","662","662","662"
"332000","56","56","56","663","663","663"
"332500","56","56","56","664","664","664"
"333000","56","56","56","665","665","665"
"333500","56","56","56","666","666","666"
"334000","56","56","56","667","667","667"
"334500","56","56","56","668","668","668"
"335000","56","56","56","669","669","669"
"335500","56","56","56","670","670","670"
"336000","56","56","56","671","671","671"
"336500","56","56","56","672","672","672"
"337000","56","56","56","673","673","673"
"337500","56","56","56","674","674","674"
"338000","57","57","57","675","675","675"
"338500","57","57","57","676","676","676"
"339000","57","57","57","677","677","677"
"339500","57","57","57","678","678","678"
"340000","57","57","57","679","679","679"
"340500","57","57","57","680","680","680"
"341000","57","57","57","681","681","681"
"341500","57","57","57","682","682","682"
"342000","57","57","57","683","683","683"
"342500","57","57","57","684","684","684"
"343000","57","57","57","685","685","685"
"343500","57","57","57","686","686","686"
"344000","57","57","57","687","687","687"
"344500","57","57","57","688","688","688"
"345000","57","57","57","689","689","689"
"345500","57","57","57","690","690","690"
"346000","58","58","58","691","691","691"
"346500","58","58","58","692","692","692"
"347000","58","58","58","693","693","693"
"347500","58","58","58","694","694","694"
"348000","58","58","58","695","695","695"
"348500","58","58","58","696","696","696"
"349000","58","58","58","697","697","697"
"349500","58","58","58","698","698","698"
"350000","58","58","58","699","699","699"
"350500","58","58","58","700","700","700"
"351000","58","58","58","701","701","701"
"351500","58","58","58","702","702","702"
"352000","58","58","58","703","703","703"
"352500","58","58","58","704","704","704"
"353000","58","58","58","705","705","705"
"353500","58","58","58","706","706","706"
"354000","59","59","59","707","707","707"
"354500","59","59","59","708","708","708"
"355000","59","59","59","709","709","709"
"355500","59","59","59","710","710","710"
"356000","59","59","59","711","711","711"
"356500","59","59","59","712","712","712"
"357000","59","59","59","713","713","713"
"357500","59","59","59","714","714","714"
"358000","59","59","59","715","715","715"
"358500","59","59","59","716","716","716"
"359000","59","59","59","717","717","717"
"359500","59","59","59","718","718","718"
"360000","59","59","59","719","719","719"
"360500","59","59","59","720","720","720"
"361000","59","59","59","721","721","721"
"361500","59","59","59","722","722","722"
"362000","60","60","60","723","723","723"
"362500","60","60","60","724","724","724"
"363000","60","60","60","725","725","725"
"363500","60","60","60","726","726","726"
"364000","60","60","60","727","727","727"
"364500","60","60","60","728","728","728"
"365000","60","60","60","729","729","729"
"365500","60","60","60","730","730","730"
"366000","60","60","60","731","731","731"
"366500","60","60","60","732","732","732"
"367000","60","60","60","733","733","733"
"367500","60","60","60","734","734","734"
"368000","60","60","60","735","735","735"
"368500","60","60","60","736","736","736"
"369000","60","60","60","737","737","737"
"369500","60","60","60","738","738","738"
"370000","61","61","61","739","739","739"
"370500","61","61","61","740","740","740"
"371000","61","61","61","741","741","741"
"371500","61","61","61","742","742","742"
"372000","61","61","61","743","743","743"
"372500","61","61","61","744","744","744"
"373000","61","61","61","745","745","745"
"373500","61","61","61","746","746","746"
"374000","61","61","61","747","747","747"
"374500","61","61","61","748","748","748"
"375000","61","61","61","749","749","749"
"375500","61","61","61","750","750","750"
"376000","61","61","61","751","751","751"
"376500","61","61","61","752","752","752"
"377000","61","61","61","753","753","753"
"377500","61","61","61","754","754","754"
"378000","61","61","61","755","755","755"
"378500","62","62","62","756","756","756"
"379000","62","62","62","757","757","757"
"379500","62","62","62","758","758","758"
"380000","62","62","62","759","759","759"
"380500","62","62","62","760","760","760"
"381000","62","62","62","761","761","761"
"381500","62","62","62","762","762","762"
"382000","62","62","62","763","763","763"
"382500","62","62","62","764","764","764"
"383000","62","62","62","765","765","765"
"383500","62","62","62","766","766","766"
"384000","62","62","62","767","767","767"
"384500","62","62","62","768","768","768"
"385000","62","62","62","769","769","769"
"385500","62","62","62","770","770","770"
"386000","62","62","62","771","771","771"
"386500","62","62","62","772","772","772"
"387000","62","62","62","773","773","773"
"387500","63","63","63","774","774","774"
"388000","63","63","63","775","775","775"
"388500","63","63","63","776","776","776"
"389000","63","63","63","777","777","777"
"389500","63","63","63","778","778","778"
"390000","63","63","63","779","779","779"
"390500","63","63","63","780","780","780"
"391000","63","63","63","781","781","781"
"391500","63","63","63","782","782","782"
"392000","63","63","63","783","783","783"
"392500","63","63","63","784","784","784"
"393000","63","63","63","785","785","785"
"393500","63","63","63","786","786","786"
"394000","63","63","63","787","787","787"
"394500","63","63","63","788","788","788"
"395000","63","63","63","789","789","789"
"395500","63","63","63","790","790","790"
"396000","63","63","63","791","791","791"
"396500","63","63","63","792","792","792"
"397000","63","63","63","793","793","793"
"397500","63","63","63","794","794","794"
"398000","63","63","63","795","795","795"
"398500","63","63","63","796","796","796"
