"global_step","251213_useLessPoint - train/value_loss","251213_useLessPoint - train/value_loss__MIN","251213_useLessPoint - train/value_loss__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"680000","8.260115623474121","8.260115623474121","8.260115623474121","339","339","339"
"682000","12.500703811645508","12.500703811645508","12.500703811645508","340","340","340"
"684000","7.898803234100342","7.898803234100342","7.898803234100342","341","341","341"
"686000","17.2421932220459","17.2421932220459","17.2421932220459","342","342","342"
"688000","20.44622230529785","20.44622230529785","20.44622230529785","343","343","343"
"690000","6.2600860595703125","6.2600860595703125","6.2600860595703125","344","344","344"
"692000","8.166289329528809","8.166289329528809","8.166289329528809","345","345","345"
"694000","12.311777114868164","12.311777114868164","12.311777114868164","346","346","346"
"696000","8.057097434997559","8.057097434997559","8.057097434997559","347","347","347"
"698000","10.887274742126465","10.887274742126465","10.887274742126465","348","348","348"
"700000","14.261137008666992","14.261137008666992","14.261137008666992","349","349","349"
"702000","8.62093448638916","8.62093448638916","8.62093448638916","350","350","350"
"704000","12.066184043884277","12.066184043884277","12.066184043884277","351","351","351"
"706000","8.212111473083496","8.212111473083496","8.212111473083496","352","352","352"
"708000","5.332396507263184","5.332396507263184","5.332396507263184","353","353","353"
"710000","7.350680351257324","7.350680351257324","7.350680351257324","354","354","354"
"712000","6.9672322273254395","6.9672322273254395","6.9672322273254395","355","355","355"
"714000","4.946701526641846","4.946701526641846","4.946701526641846","356","356","356"
"716000","6.69989013671875","6.69989013671875","6.69989013671875","357","357","357"
"718000","7.821006774902344","7.821006774902344","7.821006774902344","358","358","358"
"720000","6.143599987030029","6.143599987030029","6.143599987030029","359","359","359"
"722000","13.875768661499023","13.875768661499023","13.875768661499023","360","360","360"
"724000","10.584125518798828","10.584125518798828","10.584125518798828","361","361","361"
"726000","9.756315231323242","9.756315231323242","9.756315231323242","362","362","362"
"728000","7.114347457885742","7.114347457885742","7.114347457885742","363","363","363"
"730000","4.799483776092529","4.799483776092529","4.799483776092529","364","364","364"
"732000","9.973516464233398","9.973516464233398","9.973516464233398","365","365","365"
"734000","14.515008926391602","14.515008926391602","14.515008926391602","366","366","366"
"736000","12.275894165039062","12.275894165039062","12.275894165039062","367","367","367"
"738000","11.216055870056152","11.216055870056152","11.216055870056152","368","368","368"
"740000","7.792259216308594","7.792259216308594","7.792259216308594","369","369","369"
"742000","10.857735633850098","10.857735633850098","10.857735633850098","370","370","370"
"744000","5.675325870513916","5.675325870513916","5.675325870513916","371","371","371"
"746000","5.5667548179626465","5.5667548179626465","5.5667548179626465","372","372","372"
"748000","6.049005508422852","6.049005508422852","6.049005508422852","373","373","373"
"750000","6.90095853805542","6.90095853805542","6.90095853805542","374","374","374"
"752000","7.868122100830078","7.868122100830078","7.868122100830078","375","375","375"
"754000","7.890074729919434","7.890074729919434","7.890074729919434","376","376","376"
"756000","6.573987007141113","6.573987007141113","6.573987007141113","377","377","377"
"758000","17.243030548095703","17.243030548095703","17.243030548095703","378","378","378"
"760000","3.984005928039551","3.984005928039551","3.984005928039551","379","379","379"
"762000","5.172730922698975","5.172730922698975","5.172730922698975","380","380","380"
"764000","11.904289245605469","11.904289245605469","11.904289245605469","381","381","381"
"766000","5.122852802276611","5.122852802276611","5.122852802276611","382","382","382"
