"global_step","251213_useLessPoint - train/final_neg_count","251213_useLessPoint - train/final_neg_count__MIN","251213_useLessPoint - train/final_neg_count__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"888000","10","10","10","443","443","443"
"890000","8","8","8","444","444","444"
"892000","12","12","12","445","445","445"
"894000","6","6","6","446","446","446"
"896000","5","5","5","447","447","447"
"898000","7","7","7","448","448","448"
"900000","5","5","5","449","449","449"
"902000","8","8","8","450","450","450"
"904000","3","3","3","451","451","451"
"906000","7","7","7","452","452","452"
"908000","7","7","7","453","453","453"
"910000","7","7","7","454","454","454"
"912000","4","4","4","455","455","455"
"914000","7","7","7","456","456","456"
"916000","8","8","8","457","457","457"
"918000","12","12","12","458","458","458"
"920000","8","8","8","459","459","459"
"922000","9","9","9","460","460","460"
"924000","11","11","11","461","461","461"
"926000","9","9","9","462","462","462"
"928000","3","3","3","463","463","463"
"930000","8","8","8","464","464","464"
"932000","8","8","8","465","465","465"
"934000","8","8","8","466","466","466"
"936000","5","5","5","467","467","467"
"938000","11","11","11","468","468","468"
"940000","11","11","11","469","469","469"
"942000","4","4","4","470","470","470"
"944000","11","11","11","471","471","471"
"946000","7","7","7","472","472","472"
"948000","8","8","8","473","473","473"
"950000","9","9","9","474","474","474"
"952000","6","6","6","475","475","475"
"954000","5","5","5","476","476","476"
"956000","5","5","5","477","477","477"
"958000","4","4","4","478","478","478"
"960000","7","7","7","479","479","479"
"962000","3","3","3","480","480","480"
"964000","6","6","6","481","481","481"
"966000","5","5","5","482","482","482"
"968000","8","8","8","483","483","483"
"970000","4","4","4","484","484","484"
"972000","3","3","3","485","485","485"
"974000","6","6","6","486","486","486"
"976000","5","5","5","487","487","487"
"978000","6","6","6","488","488","488"
"980000","5","5","5","489","489","489"
"982000","6","6","6","490","490","490"
"984000","6","6","6","491","491","491"
"986000","4","4","4","492","492","492"
"988000","7","7","7","493","493","493"
"990000","4","4","4","494","494","494"
"992000","6","6","6","495","495","495"
"994000","6","6","6","496","496","496"
"996000","5","5","5","497","497","497"
"998000","4","4","4","498","498","498"
"1000000","4","4","4","499","499","499"
"1002000","4","4","4","500","500","500"
"1004000","3","3","3","501","501","501"
"1006000","6","6","6","502","502","502"
"1008000","3","3","3","503","503","503"
"1010000","6","6","6","504","504","504"
"1012000","3","3","3","505","505","505"
"1014000","5","5","5","506","506","506"
"1016000","3","3","3","507","507","507"
"1018000","5","5","5","508","508","508"
"1020000","7","7","7","509","509","509"
"1022000","6","6","6","510","510","510"
"1024000","6","6","6","511","511","511"
"1026000","8","8","8","512","512","512"
"1028000","6","6","6","513","513","513"
"1030000","7","7","7","514","514","514"
"1032000","3","3","3","515","515","515"
"1034000","6","6","6","516","516","516"
"1036000","7","7","7","517","517","517"
"1038000","4","4","4","518","518","518"
"1040000","4","4","4","519","519","519"
"1042000","7","7","7","520","520","520"
"1044000","4","4","4","521","521","521"
"1046000","6","6","6","522","522","522"
"1048000","4","4","4","523","523","523"
"1050000","6","6","6","524","524","524"
"1052000","4","4","4","525","525","525"
"1054000","6","6","6","526","526","526"
"1056000","6","6","6","527","527","527"
"1058000","7","7","7","528","528","528"
"1060000","5","5","5","529","529","529"
"1062000","8","8","8","530","530","530"
"1064000","4","4","4","531","531","531"
"1066000","6","6","6","532","532","532"
"1068000","6","6","6","533","533","533"
"1070000","7","7","7","534","534","534"
"1072000","6","6","6","535","535","535"
"1074000","6","6","6","536","536","536"
"1076000","7","7","7","537","537","537"
"1078000","7","7","7","538","538","538"
"1080000","4","4","4","539","539","539"
"1082000","4","4","4","540","540","540"
"1084000","7","7","7","541","541","541"
"1086000","5","5","5","542","542","542"
"1088000","7","7","7","543","543","543"
"1090000","4","4","4","544","544","544"
"1092000","4","4","4","545","545","545"
"1094000","5","5","5","546","546","546"
"1096000","8","8","8","547","547","547"
"1098000","4","4","4","548","548","548"
"1100000","6","6","6","549","549","549"
"1102000","8","8","8","550","550","550"
"1104000","5","5","5","551","551","551"
"1106000","5","5","5","552","552","552"
"1108000","8","8","8","553","553","553"
"1110000","8","8","8","554","554","554"
"1112000","9","9","9","555","555","555"
"1114000","5","5","5","556","556","556"
"1116000","5","5","5","557","557","557"
"1118000","6","6","6","558","558","558"
"1120000","8","8","8","559","559","559"
"1122000","7","7","7","560","560","560"
"1124000","4","4","4","561","561","561"
"1126000","7","7","7","562","562","562"
"1128000","5","5","5","563","563","563"
"1130000","7","7","7","564","564","564"
