"global_step","251213_useLessPoint - train/final_episode_iou","251213_useLessPoint - train/final_episode_iou__MIN","251213_useLessPoint - train/final_episode_iou__MAX","251213_useLessPoint - _step","251213_useLessPoint - _step__MIN","251213_useLessPoint - _step__MAX"
"542000","0.32091543078422546","0.32091543078422546","0.32091543078422546","270","270","270"
"544000","0.26531416177749634","0.26531416177749634","0.26531416177749634","271","271","271"
"546000","0.3880448639392853","0.3880448639392853","0.3880448639392853","272","272","272"
"548000","0.2993919551372528","0.2993919551372528","0.2993919551372528","273","273","273"
"550000","0.2750100791454315","0.2750100791454315","0.2750100791454315","274","274","274"
"552000","0.16095411777496338","0.16095411777496338","0.16095411777496338","275","275","275"
"554000","0.3104134500026703","0.3104134500026703","0.3104134500026703","276","276","276"
"556000","0.41270798444747925","0.41270798444747925","0.41270798444747925","277","277","277"
"558000","0.3579759895801544","0.3579759895801544","0.3579759895801544","278","278","278"
"560000","0.2293219417333603","0.2293219417333603","0.2293219417333603","279","279","279"
"562000","0.07578907907009125","0.07578907907009125","0.07578907907009125","280","280","280"
"564000","0.2189330905675888","0.2189330905675888","0.2189330905675888","281","281","281"
"566000","0.1545102447271347","0.1545102447271347","0.1545102447271347","282","282","282"
"568000","0.34707075357437134","0.34707075357437134","0.34707075357437134","283","283","283"
"570000","0.38209497928619385","0.38209497928619385","0.38209497928619385","284","284","284"
"572000","0.29025232791900635","0.29025232791900635","0.29025232791900635","285","285","285"
"574000","0.2634866535663605","0.2634866535663605","0.2634866535663605","286","286","286"
"576000","0.31393787264823914","0.31393787264823914","0.31393787264823914","287","287","287"
"578000","0.2675408720970154","0.2675408720970154","0.2675408720970154","288","288","288"
"580000","0.4120737612247467","0.4120737612247467","0.4120737612247467","289","289","289"
"582000","0.25021255016326904","0.25021255016326904","0.25021255016326904","290","290","290"
"584000","0.41000548005104065","0.41000548005104065","0.41000548005104065","291","291","291"
"586000","0.36572033166885376","0.36572033166885376","0.36572033166885376","292","292","292"
"588000","0.4228535592556","0.4228535592556","0.4228535592556","293","293","293"
"590000","0.40434351563453674","0.40434351563453674","0.40434351563453674","294","294","294"
"592000","0.5020090341567993","0.5020090341567993","0.5020090341567993","295","295","295"
"594000","0.5048543810844421","0.5048543810844421","0.5048543810844421","296","296","296"
"596000","0.4076066017150879","0.4076066017150879","0.4076066017150879","297","297","297"
"598000","0.2333725392818451","0.2333725392818451","0.2333725392818451","298","298","298"
"600000","0.21776199340820312","0.21776199340820312","0.21776199340820312","299","299","299"
"602000","0.43310850858688354","0.43310850858688354","0.43310850858688354","300","300","300"
"604000","0.4740985929965973","0.4740985929965973","0.4740985929965973","301","301","301"
"606000","0.48279428482055664","0.48279428482055664","0.48279428482055664","302","302","302"
"608000","0.3259407877922058","0.3259407877922058","0.3259407877922058","303","303","303"
"610000","0.25887492299079895","0.25887492299079895","0.25887492299079895","304","304","304"
"612000","0.4091239273548126","0.4091239273548126","0.4091239273548126","305","305","305"
"614000","0.4524657428264618","0.4524657428264618","0.4524657428264618","306","306","306"
"616000","0.33135727047920227","0.33135727047920227","0.33135727047920227","307","307","307"
"618000","0.20125409960746765","0.20125409960746765","0.20125409960746765","308","308","308"
"620000","0.2849901616573334","0.2849901616573334","0.2849901616573334","309","309","309"
"622000","0.3908565938472748","0.3908565938472748","0.3908565938472748","310","310","310"
"624000","0.3669862747192383","0.3669862747192383","0.3669862747192383","311","311","311"
"626000","0.49464985728263855","0.49464985728263855","0.49464985728263855","312","312","312"
"628000","0.33187413215637207","0.33187413215637207","0.33187413215637207","313","313","313"
"630000","0.2671894431114197","0.2671894431114197","0.2671894431114197","314","314","314"
"632000","0.45486441254615784","0.45486441254615784","0.45486441254615784","315","315","315"
"634000","0.46733811497688293","0.46733811497688293","0.46733811497688293","316","316","316"
"636000","0.4646424949169159","0.4646424949169159","0.4646424949169159","317","317","317"
"638000","0.35359159111976624","0.35359159111976624","0.35359159111976624","318","318","318"
"640000","0.4642537534236908","0.4642537534236908","0.4642537534236908","319","319","319"
"642000","0.2685372531414032","0.2685372531414032","0.2685372531414032","320","320","320"
"644000","0.3637678921222687","0.3637678921222687","0.3637678921222687","321","321","321"
"646000","0.36159074306488037","0.36159074306488037","0.36159074306488037","322","322","322"
"648000","0.15778090059757233","0.15778090059757233","0.15778090059757233","323","323","323"
"650000","0.35192087292671204","0.35192087292671204","0.35192087292671204","324","324","324"
"652000","0.4385679364204407","0.4385679364204407","0.4385679364204407","325","325","325"
"654000","0.23778246343135834","0.23778246343135834","0.23778246343135834","326","326","326"
"656000","0.38391003012657166","0.38391003012657166","0.38391003012657166","327","327","327"
"658000","0.20868360996246338","0.20868360996246338","0.20868360996246338","328","328","328"
"660000","0.2485298067331314","0.2485298067331314","0.2485298067331314","329","329","329"
"662000","0.3023221790790558","0.3023221790790558","0.3023221790790558","330","330","330"
"664000","0.3008328676223755","0.3008328676223755","0.3008328676223755","331","331","331"
"666000","0.19877785444259644","0.19877785444259644","0.19877785444259644","332","332","332"
"668000","0.34176740050315857","0.34176740050315857","0.34176740050315857","333","333","333"
"670000","0.327471524477005","0.327471524477005","0.327471524477005","334","334","334"
"672000","0.307745099067688","0.307745099067688","0.307745099067688","335","335","335"
"674000","0.2782634496688843","0.2782634496688843","0.2782634496688843","336","336","336"
"676000","0.4016035497188568","0.4016035497188568","0.4016035497188568","337","337","337"
"678000","0.2995213270187378","0.2995213270187378","0.2995213270187378","338","338","338"
"680000","0.16635799407958984","0.16635799407958984","0.16635799407958984","339","339","339"
"682000","0.17891786992549896","0.17891786992549896","0.17891786992549896","340","340","340"
"684000","0.08176038414239883","0.08176038414239883","0.08176038414239883","341","341","341"
"686000","0.48332667350769043","0.48332667350769043","0.48332667350769043","342","342","342"
"688000","0.33313649892807007","0.33313649892807007","0.33313649892807007","343","343","343"
"690000","0.22028101980686188","0.22028101980686188","0.22028101980686188","344","344","344"
"692000","0.39166074991226196","0.39166074991226196","0.39166074991226196","345","345","345"
"694000","0.3553169071674347","0.3553169071674347","0.3553169071674347","346","346","346"
"696000","0.20917010307312012","0.20917010307312012","0.20917010307312012","347","347","347"
"698000","0.2890660762786865","0.2890660762786865","0.2890660762786865","348","348","348"
"700000","0.20636406540870667","0.20636406540870667","0.20636406540870667","349","349","349"
"702000","0.3093859553337097","0.3093859553337097","0.3093859553337097","350","350","350"
"704000","0.47662103176116943","0.47662103176116943","0.47662103176116943","351","351","351"
"706000","0.37910085916519165","0.37910085916519165","0.37910085916519165","352","352","352"
