"global_step","251221_DQN - time/fps","251221_DQN - time/fps__MIN","251221_DQN - time/fps__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"1056000","27","27","27","527","527","527"
"1058000","27","27","27","528","528","528"
"1060000","27","27","27","529","529","529"
"1062000","27","27","27","530","530","530"
"1064000","27","27","27","531","531","531"
"1066000","27","27","27","532","532","532"
"1068000","27","27","27","533","533","533"
"1070000","27","27","27","534","534","534"
"1072000","27","27","27","535","535","535"
"1074000","27","27","27","536","536","536"
"1076000","27","27","27","537","537","537"
"1078000","27","27","27","538","538","538"
"1080000","27","27","27","539","539","539"
"1082000","27","27","27","540","540","540"
"1084000","27","27","27","541","541","541"
"1086000","27","27","27","542","542","542"
"1088000","27","27","27","543","543","543"
"1090000","27","27","27","544","544","544"
"1092000","27","27","27","545","545","545"
"1094000","27","27","27","546","546","546"
"1096000","27","27","27","547","547","547"
"1098000","27","27","27","548","548","548"
"1100000","27","27","27","549","549","549"
"1102000","27","27","27","550","550","550"
"1104000","27","27","27","551","551","551"
"1106000","27","27","27","552","552","552"
"1108000","27","27","27","553","553","553"
"1110000","27","27","27","554","554","554"
"1112000","27","27","27","555","555","555"
"1114000","27","27","27","556","556","556"
"1116000","27","27","27","557","557","557"
"1118000","27","27","27","558","558","558"
"1120000","27","27","27","559","559","559"
"1122000","27","27","27","560","560","560"
"1124000","27","27","27","561","561","561"
"1126000","27","27","27","562","562","562"
"1128000","27","27","27","563","563","563"
"1130000","27","27","27","564","564","564"
"1132000","27","27","27","565","565","565"
"1134000","27","27","27","566","566","566"
"1136000","27","27","27","567","567","567"
"1138000","27","27","27","568","568","568"
"1140000","27","27","27","569","569","569"
"1142000","27","27","27","570","570","570"
"1144000","27","27","27","571","571","571"
"1146000","28","28","28","572","572","572"
"1148000","28","28","28","573","573","573"
"1150000","28","28","28","574","574","574"
"1152000","28","28","28","575","575","575"
"1154000","28","28","28","576","576","576"
"1156000","28","28","28","577","577","577"
"1158000","28","28","28","578","578","578"
"1160000","28","28","28","579","579","579"
"1162000","28","28","28","580","580","580"
"1164000","28","28","28","581","581","581"
"1166000","28","28","28","582","582","582"
"1168000","28","28","28","583","583","583"
"1170000","28","28","28","584","584","584"
"1172000","28","28","28","585","585","585"
"1174000","28","28","28","586","586","586"
"1176000","28","28","28","587","587","587"
"1178000","28","28","28","588","588","588"
"1180000","28","28","28","589","589","589"
"1182000","28","28","28","590","590","590"
"1184000","28","28","28","591","591","591"
"1186000","28","28","28","592","592","592"
"1188000","28","28","28","593","593","593"
"1190000","28","28","28","594","594","594"
"1192000","28","28","28","595","595","595"
"1194000","28","28","28","596","596","596"
"1196000","28","28","28","597","597","597"
"1198000","28","28","28","598","598","598"
"1200000","28","28","28","599","599","599"
"1202000","28","28","28","600","600","600"
"1204000","28","28","28","601","601","601"
"1206000","28","28","28","602","602","602"
"1208000","28","28","28","603","603","603"
"1210000","28","28","28","604","604","604"
"1212000","28","28","28","605","605","605"
"1214000","28","28","28","606","606","606"
"1216000","28","28","28","607","607","607"
"1218000","28","28","28","608","608","608"
"1220000","28","28","28","609","609","609"
"1222000","28","28","28","610","610","610"
"1224000","28","28","28","611","611","611"
"1226000","28","28","28","612","612","612"
"1228000","28","28","28","613","613","613"
"1230000","28","28","28","614","614","614"
"1232000","28","28","28","615","615","615"
"1234000","28","28","28","616","616","616"
"1236000","28","28","28","617","617","617"
"1238000","28","28","28","618","618","618"
"1240000","28","28","28","619","619","619"
"1242000","28","28","28","620","620","620"
"1244000","28","28","28","621","621","621"
"1246000","28","28","28","622","622","622"
"1248000","28","28","28","623","623","623"
"1250000","28","28","28","624","624","624"
"1252000","28","28","28","625","625","625"
"1254000","28","28","28","626","626","626"
"1256000","28","28","28","627","627","627"
"1258000","28","28","28","628","628","628"
"1260000","28","28","28","629","629","629"
"1262000","28","28","28","630","630","630"
"1264000","28","28","28","631","631","631"
"1266000","28","28","28","632","632","632"
"1268000","28","28","28","633","633","633"
"1270000","28","28","28","634","634","634"
"1272000","28","28","28","635","635","635"
"1274000","28","28","28","636","636","636"
"1276000","28","28","28","637","637","637"
"1278000","28","28","28","638","638","638"
"1280000","28","28","28","639","639","639"
"1282000","28","28","28","640","640","640"
"1284000","28","28","28","641","641","641"
"1286000","28","28","28","642","642","642"
"1288000","28","28","28","643","643","643"
"1290000","28","28","28","644","644","644"
"1292000","28","28","28","645","645","645"
"1294000","29","29","29","646","646","646"
"1296000","29","29","29","647","647","647"
"1298000","29","29","29","648","648","648"
"1300000","29","29","29","649","649","649"
"1302000","29","29","29","650","650","650"
"1304000","29","29","29","651","651","651"
"1306000","29","29","29","652","652","652"
"1308000","29","29","29","653","653","653"
"1310000","29","29","29","654","654","654"
"1312000","29","29","29","655","655","655"
"1314000","29","29","29","656","656","656"
"1316000","29","29","29","657","657","657"
"1318000","29","29","29","658","658","658"
"1320000","29","29","29","659","659","659"
"1322000","29","29","29","660","660","660"
"1324000","29","29","29","661","661","661"
"1326000","29","29","29","662","662","662"
"1328000","29","29","29","663","663","663"
"1330000","29","29","29","664","664","664"
"1332000","29","29","29","665","665","665"
"1334000","29","29","29","666","666","666"
"1336000","29","29","29","667","667","667"
"1338000","29","29","29","668","668","668"
"1340000","29","29","29","669","669","669"
"1342000","29","29","29","670","670","670"
"1344000","29","29","29","671","671","671"
"1346000","29","29","29","672","672","672"
"1348000","29","29","29","673","673","673"
"1350000","29","29","29","674","674","674"
"1352000","29","29","29","675","675","675"
"1354000","29","29","29","676","676","676"
"1356000","29","29","29","677","677","677"
"1358000","29","29","29","678","678","678"
"1360000","29","29","29","679","679","679"
"1362000","29","29","29","680","680","680"
"1364000","29","29","29","681","681","681"
"1366000","29","29","29","682","682","682"
"1368000","29","29","29","683","683","683"
"1370000","29","29","29","684","684","684"
"1372000","29","29","29","685","685","685"
"1374000","29","29","29","686","686","686"
"1376000","29","29","29","687","687","687"
"1378000","29","29","29","688","688","688"
"1380000","29","29","29","689","689","689"
"1382000","29","29","29","690","690","690"
"1384000","29","29","29","691","691","691"
"1386000","29","29","29","692","692","692"
"1388000","29","29","29","693","693","693"
"1390000","29","29","29","694","694","694"
"1392000","29","29","29","695","695","695"
"1394000","29","29","29","696","696","696"
"1396000","29","29","29","697","697","697"
"1398000","29","29","29","698","698","698"
"1400000","29","29","29","699","699","699"
"1402000","29","29","29","700","700","700"
"1404000","29","29","29","701","701","701"
"1406000","29","29","29","702","702","702"
"1408000","29","29","29","703","703","703"
"1410000","29","29","29","704","704","704"
"1412000","29","29","29","705","705","705"
"1414000","29","29","29","706","706","706"
"1416000","29","29","29","707","707","707"
"1418000","29","29","29","708","708","708"
"1420000","29","29","29","709","709","709"
"1422000","29","29","29","710","710","710"
"1424000","29","29","29","711","711","711"
"1426000","29","29","29","712","712","712"
"1428000","29","29","29","713","713","713"
"1430000","29","29","29","714","714","714"
"1432000","29","29","29","715","715","715"
"1434000","29","29","29","716","716","716"
"1436000","29","29","29","717","717","717"
"1438000","29","29","29","718","718","718"
"1440000","29","29","29","719","719","719"
"1442000","29","29","29","720","720","720"
"1444000","29","29","29","721","721","721"
"1446000","29","29","29","722","722","722"
"1448000","29","29","29","723","723","723"
"1450000","29","29","29","724","724","724"
"1452000","29","29","29","725","725","725"
"1454000","29","29","29","726","726","726"
"1456000","29","29","29","727","727","727"
"1458000","29","29","29","728","728","728"
"1460000","29","29","29","729","729","729"
"1462000","29","29","29","730","730","730"
"1464000","29","29","29","731","731","731"
"1466000","29","29","29","732","732","732"
"1468000","29","29","29","733","733","733"
"1470000","29","29","29","734","734","734"
"1472000","29","29","29","735","735","735"
"1474000","29","29","29","736","736","736"
"1476000","29","29","29","737","737","737"
"1478000","29","29","29","738","738","738"
"1480000","29","29","29","739","739","739"
"1482000","29","29","29","740","740","740"
"1484000","29","29","29","741","741","741"
"1486000","29","29","29","742","742","742"
"1488000","29","29","29","743","743","743"
"1490000","29","29","29","744","744","744"
"1492000","29","29","29","745","745","745"
"1494000","29","29","29","746","746","746"
"1496000","29","29","29","747","747","747"
"1498000","29","29","29","749","749","749"
"1500000","29","29","29","750","750","750"
