"global_step","251221_DQN - rollout/exploration_rate","251221_DQN - rollout/exploration_rate__MIN","251221_DQN - rollout/exploration_rate__MAX","251221_DQN - _step","251221_DQN - _step__MIN","251221_DQN - _step__MAX"
"656000","0.05000000074505806","0.05000000074505806","0.05000000074505806","327","327","327"
"658000","0.05000000074505806","0.05000000074505806","0.05000000074505806","328","328","328"
"660000","0.05000000074505806","0.05000000074505806","0.05000000074505806","329","329","329"
"662000","0.05000000074505806","0.05000000074505806","0.05000000074505806","330","330","330"
"664000","0.05000000074505806","0.05000000074505806","0.05000000074505806","331","331","331"
"666000","0.05000000074505806","0.05000000074505806","0.05000000074505806","332","332","332"
"668000","0.05000000074505806","0.05000000074505806","0.05000000074505806","333","333","333"
"670000","0.05000000074505806","0.05000000074505806","0.05000000074505806","334","334","334"
"672000","0.05000000074505806","0.05000000074505806","0.05000000074505806","335","335","335"
"674000","0.05000000074505806","0.05000000074505806","0.05000000074505806","336","336","336"
"676000","0.05000000074505806","0.05000000074505806","0.05000000074505806","337","337","337"
"678000","0.05000000074505806","0.05000000074505806","0.05000000074505806","338","338","338"
"680000","0.05000000074505806","0.05000000074505806","0.05000000074505806","339","339","339"
"682000","0.05000000074505806","0.05000000074505806","0.05000000074505806","340","340","340"
"684000","0.05000000074505806","0.05000000074505806","0.05000000074505806","341","341","341"
"686000","0.05000000074505806","0.05000000074505806","0.05000000074505806","342","342","342"
"688000","0.05000000074505806","0.05000000074505806","0.05000000074505806","343","343","343"
"690000","0.05000000074505806","0.05000000074505806","0.05000000074505806","344","344","344"
"692000","0.05000000074505806","0.05000000074505806","0.05000000074505806","345","345","345"
"694000","0.05000000074505806","0.05000000074505806","0.05000000074505806","346","346","346"
"696000","0.05000000074505806","0.05000000074505806","0.05000000074505806","347","347","347"
"698000","0.05000000074505806","0.05000000074505806","0.05000000074505806","348","348","348"
"700000","0.05000000074505806","0.05000000074505806","0.05000000074505806","349","349","349"
"702000","0.05000000074505806","0.05000000074505806","0.05000000074505806","350","350","350"
"704000","0.05000000074505806","0.05000000074505806","0.05000000074505806","351","351","351"
"706000","0.05000000074505806","0.05000000074505806","0.05000000074505806","352","352","352"
"708000","0.05000000074505806","0.05000000074505806","0.05000000074505806","353","353","353"
